,date,localName,name
0,2015-01-01,Neujahr,New Year's Day
1,2015-01-06,Heilige Drei Könige,Epiphany
2,2015-04-06,Ostermontag,Easter Monday
3,2015-05-01,Staatsfeiertag,National Holiday
4,2015-05-14,Christi Himmelfahrt,Ascension Day
5,2015-05-25,Pfingstmontag,Whit Monday
6,2015-06-04,Fronleichnam,Corpus Christi
7,2015-08-15,Maria Himmelfahrt,Assumption Day
8,2015-10-26,Nationalfeiertag,National Holiday
9,2015-11-01,Allerheiligen,All Saints' Day
10,2015-12-08,Mariä Empfängnis,Immaculate Conception
11,2015-12-25,Weihnachten,Christmas Day
12,2015-12-26,Stefanitag,St. Stephen's Day
