,date,localName,name
0,2015-01-01,Neujahr,New Year's Day
1,2015-01-02,Berchtoldstag,St. Berchtold's Day
2,2015-01-06,Heilige Drei Könige,Epiphany
3,2015-03-19,Josefstag,Saint Joseph's Day
4,2015-04-03,Karfreitag,Good Friday
5,2015-04-06,Ostermontag,Easter Monday
6,2015-05-01,Tag der Arbeit,Labour Day
7,2015-05-14,Auffahrt,Ascension Day
8,2015-05-25,Pfingstmontag,Whit Monday
9,2015-06-04,Fronleichnam,Corpus Christi
10,2015-08-01,Bundesfeier,Swiss National Day
11,2015-08-15,Maria Himmelfahrt,Assumption of the Virgin Mary
12,2015-09-21,Jeûne Fédéral,Jeûne Fédéral
13,2015-11-01,Allerheiligen,All Saints' Day
14,2015-12-08,Mariä Empfängnis,Immaculate Conception
15,2015-12-25,Weihnachten,Christmas Day
