,date,localName,name
0,2017-01-01,Neujahr,New Year's Day
1,2017-01-06,Heilige Drei Könige,Epiphany
2,2017-03-08,Internationaler Frauentag,International Women's Day
3,2017-04-14,Karfreitag,Good Friday
4,2017-04-17,Ostermontag,Easter Monday
5,2017-05-01,Tag der Arbeit,Labour Day
6,2017-05-25,Christi Himmelfahrt,Ascension Day
7,2017-06-05,Pfingstmontag,Whit Monday
8,2017-06-15,Fronleichnam,Corpus Christi
9,2017-08-15,Mariä Himmelfahrt,Assumption Day
10,2017-09-20,Weltkindertag,World Children's Day
11,2017-10-03,Tag der Deutschen Einheit,German Unity Day
12,2017-10-31,Reformationstag,Reformation Day
13,2017-11-01,Allerheiligen,All Saints' Day
14,2017-11-22,Buß- und Bettag,Repentance and Prayer Day
15,2017-12-25,Erster Weihnachtstag,Christmas Day
16,2017-12-26,Zweiter Weihnachtstag,St. Stephen's Day
