,date,localName,name
0,2014-01-01,Año Nuevo,New Year's Day
1,2014-01-06,Día de los Reyes Magos,Epiphany
2,2014-03-03,Carnival,Carnival
3,2014-03-04,Carnival,Carnival
4,2014-03-19,Día de San José,Saint Joseph's Day
5,2014-04-17,Jueves Santo,Maundy Thursday
6,2014-04-18,Viernes Santo,Good Friday
7,2014-05-01,Primero de Mayo,Labour Day
8,2014-05-29,Ascensión del señor,Ascension Day
9,2014-06-19,Corpus Christi,Corpus Christi
10,2014-06-27,Sagrado Corazón,Sacred Heart
11,2014-06-29,San Pedro y San Pablo,Saint Peter and Saint Paul
12,2014-07-20,Declaracion de la Independencia de Colombia,Declaration of Independence
13,2014-08-07,Battle of Boyacá,Battle of Boyacá
14,2014-08-15,La Asunción,Assumption of Mary
15,2014-10-12,Día de la Raza,Columbus Day
16,2014-11-01,Dia de los Santos,All Saints’ Day
17,2014-11-11,Independencia de Cartagena,Independence of Cartagena
18,2014-12-08,La Inmaculada Concepción,Immaculate Conception
19,2014-12-25,Navidad,Christmas Day
